Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,CB 01RP,476.425,+,0.75,,88.5,88.5,23,NN,NFM,12.5,,Channel 01 duplex,,,
2,CB 02RP,476.45,+,0.75,,88.5,88.5,23,NN,NFM,12.5,,Channel 02 duplex,,,
3,CB 03RP,476.475,+,0.75,,88.5,88.5,23,NN,NFM,12.5,,Channel 03 duplex,,,
4,CB 04RP,476.5,+,0.75,,88.5,88.5,23,NN,NFM,12.5,,Channel 04 duplex,,,
5,CB 05,476.525,,,,88.5,88.5,23,NN,NFM,12.5,,Channel 05 emergency simplex,,,
6,CB 05RP,476.525,+,0.75,,88.5,88.5,23,NN,NFM,12.5,,Channel 05 emergency duplex,,,
7,CB 06RP,476.55,+,0.75,,88.5,88.5,23,NN,NFM,12.5,,Channel 06 duplex,,,
8,CB 07RP,476.575,+,0.75,,88.5,88.5,23,NN,NFM,12.5,,Channel 07 duplex,,,
9,CB 08RP,476.6,+,0.75,,88.5,88.5,23,NN,NFM,12.5,,Channel 08 duplex,,,
10,CB 09,476.625,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
11,CB 10,476.65,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
12,CB 11,476.675,,,,88.5,88.5,23,NN,NFM,12.5,,AU CB Call channel,,,
13,CB 12,476.7,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
14,CB 13,476.725,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
15,CB 14,476.75,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
16,CB 15,476.775,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
17,CB 16,476.8,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
18,CB 17,476.825,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
19,CB 18,476.85,,,,88.5,88.5,23,NN,NFM,12.5,,"Caravan, RV & Convoy channel",,,
20,CB 19,476.875,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
21,CB 20,476.9,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
22,CB 21,476.925,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
23,CB 22T,476.95,,,,88.5,88.5,23,NN,NFM,12.5,,Telemetery & Telecommand (no voice allowed),,,
24,CB 23T,476.975,,,,88.5,88.5,23,NN,NFM,12.5,,Telemetery & Telecommand (no voice allowed),,,
25,CB 24,477,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
26,CB 25,477.025,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
27,CB 26,477.05,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
28,CB 27,477.075,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
29,CB 28,477.1,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
30,CB 29,477.125,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
31,CB 30,477.15,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
32,CB 31,477.175,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 1 repeater input (use chan 1 duplex for repeater),,,
33,CB 32,477.2,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 2 repeater input (use chan 2 duplex for repeater),,,
34,CB 33,477.225,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 3 repeater input (use chan 3 duplex for repeater),,,
35,CB 34,477.25,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 4 repeater input (use chan 4 duplex for repeater),,,
