Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,FRS 1,462.562500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
2,FRS 2,462.587500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
3,FRS 3,462.612500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
4,FRS 4,462.637500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
5,FRS 5,462.662500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
6,FRS 6,462.687500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
7,FRS 7,462.712500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
8,FRS 8,467.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
9,FRS 9,467.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
10,FRS 10,467.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
11,FRS 11,467.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
12,FRS 12,467.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
13,FRS 13,467.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
14,FRS 14,467.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
15,GMRS 1,462.550000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
16,GMRS 2,462.562500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
17,GMRS 3,462.575000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
18,GMRS 4,462.587500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
19,GMRS 5,462.600000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
20,GMRS 6,462.612500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
21,GMRS 7,462.625000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
22,GMRS 8,462.637500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
23,GMRS 9,462.650000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
24,GMRS 10,462.662500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
25,GMRS 11,462.675000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
26,GMRS 12,462.687500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
27,GMRS 13,462.700000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
28,GMRS 14,462.712500,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
29,GMRS 15,462.725000,,5.000000,,88.5,88.5,023,NN,FM,12.50,,,,,
