Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,LPD 01,433.075000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
2,LPD 02,433.100000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
3,LPD 03,433.125000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
4,LPD 04,433.150000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
5,LPD 05,433.175000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
6,LPD 06,433.200000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
7,LPD 07,433.225000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
8,LPD 08,433.250000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
9,LPD 09,433.275000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
10,LPD 10,433.300000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
11,LPD 11,433.325000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
12,LPD 12,433.350000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
13,LPD 13,433.375000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
14,LPD 14,433.400000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
15,LPD 15,433.425000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
16,LPD 16,433.450000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
17,LPD 17,433.475000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
18,LPD 18,433.500000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
19,LPD 19,433.525000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
20,LPD 20,433.550000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
21,LPD 21,433.575000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
22,LPD 22,433.600000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
23,LPD 23,433.625000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
24,LPD 24,433.650000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
25,LPD 25,433.675000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
26,LPD 26,433.700000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
27,LPD 27,433.725000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
28,LPD 28,433.750000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
29,LPD 29,433.775000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
30,LPD 30,433.800000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
31,LPD 31,433.825000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
32,LPD 32,433.850000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
33,LPD 33,433.875000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
34,LPD 34,433.900000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
35,LPD 35,433.925000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
36,LPD 36,433.950000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
37,LPD 37,433.975000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
38,LPD 38,434.000000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
39,LPD 39,434.025000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
40,LPD 40,434.050000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
41,LPD 41,434.075000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
42,LPD 42,434.100000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
43,LPD 43,434.125000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
44,LPD 44,434.150000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
45,LPD 45,434.175000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
46,LPD 46,434.200000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
47,LPD 47,434.225000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
48,LPD 48,434.250000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
49,LPD 49,434.275000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
50,LPD 50,434.300000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
51,LPD 51,434.325000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
52,LPD 52,434.350000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
53,LPD 53,434.375000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
54,LPD 54,434.400000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
55,LPD 55,434.425000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
56,LPD 56,434.450000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
57,LPD 57,434.475000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
58,LPD 58,434.500000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
59,LPD 59,434.525000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
60,LPD 60,434.550000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
61,LPD 61,434.575000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
62,LPD 62,434.600000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
63,LPD 63,434.625000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
64,LPD 64,434.650000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
65,LPD 65,434.675000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
66,LPD 66,434.700000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
67,LPD 67,434.725000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
68,LPD 68,434.750000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
69,LPD 69,434.775000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
71,PMR 01,446.006250,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
72,PMR 02,446.018750,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
73,PMR 03,446.031250,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
74,PMR 04,446.043750,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
75,PMR 05,446.056250,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
76,PMR 06,446.068750,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
77,PMR 07,446.081250,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
78,PMR 08,446.093750,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
81,PMR 09,446.106250,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
82,PMR 10,446.118750,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
83,PMR 11,446.131250,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
84,PMR 12,446.143750,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
85,PMR 13,446.156250,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
86,PMR 14,446.168750,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
87,PMR 15,446.181250,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
88,PMR 16,446.193750,,0.600000,,88.5,88.5,023,NN,NFM,6.25,,,,,
