Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,MRN 01,160.650000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
2,MRN 02,160.700000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
3,MRN 03,160.750000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
4,MRN 04,160.800000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
5,MRN 05,160.850000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
6,MRN 06,156.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
7,MRN 07,160.950000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
8,MRN 08,156.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
9,MRN 09,156.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
10,MRN 10,156.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
11,MRN 11,156.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
12,MRN 12,156.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
13,MRN 13,156.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
14,MRN 14,156.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
15,MRN 15,156.750000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
