Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,WX1PA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
2,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
3,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
4,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
5,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
6,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
7,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
8,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
9,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
10,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
