Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,VHF SSTV,144.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Częstotliwość SSTV,,,,
1,VHF APRS,144.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Częstotliwość APRS 2m,,,,
2,VHF WX,144.950000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Częstotliwość pracy stacji pogodowych SR0WX ,,,,
3,VHF CQ,145.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Częstotliwość wywoławcza,,,,
4,VHF CQ M,145.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Częstotliwość wywoławcza dla stacji mobilnych oraz EMCOM,,,,
5,VHF SOTA,145.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,"[2m] Częstotliwość wywoławcza programów SOTA,POTA oraz podobnych",,,,
7,UHF APRS,432.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[70cm] Częstotliwość APRS 70cm,,,,
8,UHF CQ,433.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[70cm] Częstotliwość wywoławcza,,,,
9,UHF CQ M,433.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[70cm] Częstotliwość wywoławcza dla stacji mobilnych oraz EMCOM,,,,
11,,145.212500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Kanał FM/DV,,,,
12,,145.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Kanał FM/DV,,,,
13,,145.250000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Kanał FM/DV,,,,
14,,145.262500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Kanał FM/DV,,,,
15,,145.275000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Kanał FM/DV,,,,
16,,145.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Kanał FM/DV,,,,
17,,145.312500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Kanał FM/DV,,,,
18,,145.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Kanał FM/DV,,,,
19,,145.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Kanał FM/DV,,,,
20,,145.362500,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,[2m] Kanał FM/DV,,,,
