Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,UHF APRS,432.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,5.0W,,,,,
1,UHF RTTY,432.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,5.0W,,,,,
2,UHF SSTV,433.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,5.0W,,,,,
2,UHF CQ,433.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,5.0W,,,,,
3,UHF CQ M,433.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,5.0W,,,,,
4,VHF SSTV,144.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,5.0W,,,,,
5,VHF APRS,144.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,5.0W,,,,,
6,VHF WX,144.950000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,5.0W,,,,,
7,VHF CQ,145.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,5.0W,,,,,
8,VHF CQ M,145.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,5.0W,,,,,
9,VHF SOTA,145.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.5,,5.0W,,,,,
