Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,BRSL1,77.687500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
2,BRSL2,86.337500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
3,BRSL3,86.350000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
4,BRSL4,86.362500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
5,BRSL5,86.375000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
6,BRSL6,164.050000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
7,BRSL7,164.062500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
8,BRSL8,169.087500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
9,BRSL9,169.312500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
10,BRSL10,173.050000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
11,BRSL11,173.062500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
12,BRSL12,173.087500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
13,BRSL13,449.312500,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
14,BRSL14,449.400000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
15,BRSL15,449.475000,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,
