Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,Tstep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,AAR002,159.810000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
2,AAR003,159.930000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
3,AAR004,160.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
4,AAR005,160.185000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
5,AAR006,160.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
6,AAR007,160.215000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
7,AAR008,160.230000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
8,AAR009,160.245000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
9,AAR010,160.260000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
10,AAR011,160.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
11,AAR012,160.290000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
12,AAR013,160.305000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
13,AAR014,160.320000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
14,AAR015,160.335000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
15,AAR016,160.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
16,AAR017,160.365000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
17,AAR018,160.380000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
18,AAR019,160.395000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
19,AAR020,160.410000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
20,AAR021,160.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
21,AAR022,160.440000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
22,AAR023,160.455000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
23,AAR024,160.470000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
24,AAR025,160.485000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
25,AAR026,160.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
26,AAR027,160.515000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
27,AAR028,160.530000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
28,AAR029,160.545000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
29,AAR030,160.560000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
30,AAR031,160.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
31,AAR032,160.590000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
32,AAR033,160.605000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
