Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,SEA 01,156.050000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Port Operations and Commercial,,,,
2,SEA 05,156.250000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Port Operations.  VTS in Seattle,,,,
3,SEA 06,156.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Intership Safety,,,,
4,SEA 07,156.350000,-,4.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Commercial,,,,
5,SEA 08,156.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Commercial (Intership only),,,,
6,SEA 09,156.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Boater Calling.  Commercial and Non-Commercial.,,,,
7,SEA 10,156.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Commercial,,,,
8,SEA 11,156.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Commercial.  VTS in selected areas.,,,,
9,SEA 12,156.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Port Operations.  VTS in selected areas.,,,,
10,SEA 13,156.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Intership Navigation Safety (Bridge-to-bridge).  Ships >20m length maintain a listening watch on this channel in US waters.,,,,
11,SEA 14,156.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Port Operations.  VTS in selected areas.,,,,
12,SEA 15,156.750000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Environmental (Receive only).  Used by Class C EPIRBs.,,,,
13,SEA 16,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,"International Distress, Safety and Calling.  Ships required to carry radio, USCG, and most coast stations maintain a listening watch on this channel.",,,,
14,SEA 17,156.850000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,State Control,,,,
15,SEA 18,156.900000,-,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Commercial,,,,
16,SEA 19,156.950000,-,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Commercial,,,,
17,SEA 20,157.000000,-,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Port Operations (duplex),,,,
18,SEA 21,157.050000,-,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,25.00,,50W,Port Operations,,,,
